CautionID,SessionID,StartLap,EndLap,StartTime,EndTime
1,4,91,99,9787.5167,11339.7167
2,8,5,7,875.9667,1541.9
3,8,13,16,2135.7167,2974.3333
4,8,122,125,15022.3167,15822.7333
5,12,107,113,10707.4167,11815.3833
6,12,119,122,12292.2167,12931.5833
7,12,148,152,15391.15,16133.3
8,16,46,52,5466.25,6916.8833
9,24,34,43,3370.3667,5412.6
10,24,46,48,5652.0667,6094.8333
11,24,80,84,9057.8667,9999.8333
12,24,86,88,10118.8167,10585.2333
13,24,116,120,13148.0167,14133.25
14,24,128,133,14827.2667,15985.3167
15,24,200,206,22289.2667,23361.65
16,24,207,209,23482.1667,23944.1167
17,24,269,275,29537.0667,30694.55
18,24,311,316,34145.0667,34999.3667
19,24,326,332,35943.8167,37084.5833
20,28,8,14,1031.2667,2089.0667
21,28,40,47,4929.6333,6167.6333
22,37,0,3,238.6667,676.2833
23,37,29,34,3182.8333,4176.5667
24,37,110,115,11482.3333,12510.35
25,46,53,59,4837.0167,5792.45
26,46,157,166,14148.2667,15539.9333
27,46,172,174,16037.8667,16318.9333
28,58,22,25,2274.9167,3230.7
29,58,63,67,6951.0167,8051.9
30,58,223,228,23578.9167,24650.6333
31,77,24,29,2314.2667,3166.7333
32,77,47,53,4627.1667,5677.6833
33,90,1,4,359.7,902.45
34,104,30,35,2888.6,3807.45
35,104,67,72,6713.1667,7593.2
