DriverEntryID,SessionEntryID,DriverID,PreviRating,NewiRating,IncidentCount
1,1,186155,6258,6258,10
2,1,554475,8107,8107,10
3,2,231984,7790,7790,9
4,2,331632,6752,6752,9
5,3,214627,7206,7206,5
6,3,135611,4707,4707,5
7,4,378190,5151,5151,21
8,4,334289,6508,6508,21
9,5,359201,6895,6895,7
10,5,467622,7541,7541,7
11,6,137425,5554,5554,12
12,6,413831,6098,6098,12
13,7,273391,6413,6413,16
14,7,147198,6199,6199,16
15,8,226459,6673,6673,8
16,8,349503,5473,5473,8
17,9,118398,5601,5601,5
18,10,382116,4704,4704,11
19,10,322493,3734,3734,11
20,11,624104,7047,7047,10
21,12,79481,4037,4037,6
22,12,460387,6050,6050,6
23,13,812682,5037,5037,12
24,13,641839,4433,4433,12
25,14,441794,6267,6267,37
26,14,509193,7518,7518,37
27,15,165678,6780,6780,3
28,16,348266,6130,6130,26
29,16,544729,5675,5675,26
30,17,19294,4101,4101,13
31,17,140126,2923,2923,13
32,18,374278,5281,5281,3
33,18,430291,5465,5465,3
34,19,384094,6228,6228,35
35,19,184735,5103,5103,35
36,20,257118,4989,4989,13
37,20,597729,5565,5565,13
38,21,368617,6158,6158,18
39,21,491808,5008,5008,18
40,22,151868,4796,4796,12
41,22,294349,6347,6347,12
42,23,130421,7072,7072,19
43,23,293414,3635,3635,19
44,24,361203,4126,4126,14
45,24,318959,4179,4179,14
46,25,43658,6428,6428,10
47,25,297675,7532,7532,10
48,25,86677,5671,5671,10
49,26,143614,6029,6029,17
50,26,143367,4710,4710,17
51,27,38283,7345,7345,11
52,27,341052,6845,6845,11
53,28,602015,2831,2831,21
54,28,216420,3137,3137,21
55,29,100256,5394,5394,8
56,29,415847,6734,6734,8
57,30,552932,5468,5468,31
58,30,148672,5051,5051,31
59,31,513181,5623,5623,18
60,31,473796,4954,4954,18
61,32,52740,5102,5102,15
62,32,17696,3666,3666,15
63,32,47163,4900,4900,15
64,33,411987,4315,4315,24
65,33,501688,3925,3925,24
66,34,528485,3921,3921,8
67,34,225827,3408,3408,8
68,34,333811,3492,3492,8
69,35,47907,2444,2444,18
70,35,46931,2949,2949,18
71,36,408380,4681,4681,24
72,37,346119,2740,2740,30
73,37,252318,3204,3204,30
74,38,230514,3015,3015,0
75,39,333903,4155,4155,2
76,40,107353,5172,5172,15
77,40,307521,5248,5248,15
78,41,285453,7013,7013,11
79,41,288728,5574,5574,11
80,42,487960,6506,6506,9
81,42,97903,5268,5268,9
82,43,388244,4450,4450,5
83,43,273285,5837,5837,5
84,44,305867,8000,8000,21
85,44,97460,4622,4622,21
86,45,302270,9130,9130,15
87,45,304278,5178,5178,15
88,46,55084,4334,4334,8
89,47,308135,5306,5306,15
90,47,185633,4297,4297,15
91,48,71606,7643,7643,6
92,48,147760,6394,6394,6
93,49,133641,6451,6451,9
94,49,569683,3076,3076,9
95,50,721309,4589,4589,17
96,50,490227,4492,4492,17
97,51,116063,5335,5335,13
98,51,284513,5759,5759,13
99,52,325585,2342,2342,8
100,52,139153,7185,7185,8
101,53,201820,3067,3067,13
102,53,371798,2321,2321,13
103,54,349224,1858,1858,16
104,54,351053,1660,1660,16
105,54,325502,2881,2881,16
106,55,350390,2051,2051,12
