EventFilterValue,EventID,Description,Date,Hosted,Official,StartTime,InSimDate,InSimTime,LayoutID,Temp,Humidity,SeasonName,Year,Quarter,SoF,LeagueSeasonName
Hosted iRacing - HyperX ClubSport Series 700 km of Fuji - Fuji International Speedway - Grand Prix - 15 October 2022 - 51594715,51594715,HyperX ClubSport Series 700 km of Fuji,2022-10-15,True,False,12:15:25,2022-10-15,08:00:00,1,68.00,89.00,Hosted iRacing,2023,,,None
Hosted iRacing - GSI Endurance Series presented by IVRA - 1000 miles of Road Ame - Road America - Full Course - 29 October 2022 - 51967526,51967526,GSI Endurance Series presented by IVRA - 1000 miles of Road Ame,2022-10-29,True,False,10:15:13,2022-10-28,13:00:00,2,81.00,40.00,Hosted iRacing,2023,,,None
Hosted iRacing - BSTV TCR Challenge - Mid-Ohio Sports Car Course - Full Course - 09 November 2022 - 52202615,52202615,BSTV TCR Challenge,2022-11-09,True,False,18:30:37,2022-05-15,15:17:52,5,80.00,54.00,Hosted iRacing,2023,,,Season 10
Hosted iRacing - HyperX ClubSport Series 700 km of Interlagos - Autódromo José Carlos Pace - Grand Prix - 19 November 2022 - 52377035,52377035,HyperX ClubSport Series 700 km of Interlagos,2022-11-19,True,False,12:15:42,2022-11-19,08:00:00,3,66.00,84.00,Hosted iRacing,2023,,,None
Hosted iRacing - GSI Endurance Series presented by IVRA - Circuit of the Americas - Grand Prix - 26 November 2022 - 52578919,52578919,GSI Endurance Series presented by IVRA,2022-11-26,True,False,10:15:41,2022-11-25,11:00:00,4,69.00,34.00,Hosted iRacing,2023,,,None
Hosted iRacing - GSI Endurance Series presented by IVRA 12H Daytona - Daytona International Speedway - Road Course - 17 December 2022 - 58362891,58362891,GSI Endurance Series presented by IVRA 12H Daytona,2022-12-17,True,False,08:15:15,2022-12-16,16:00:00,6,65.00,46.00,Hosted iRacing,2023,,,None
Hosted iRacing - V2FINALFIXEDREALLY GSI Endurance Series by IVRA - Daytona International Speedway - Road Course - 17 December 2022 - 58363762,58363762,V2FINALFIXEDREALLY GSI Endurance Series by IVRA,2022-12-17,True,False,09:43:54,2022-12-16,16:00:00,6,74.00,66.00,Hosted iRacing,2023,,,None
Hosted iRacing - HyperX ClubSport Series 700 km of Imola - Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix - 07 January 2023 - 58791418,58791418,HyperX ClubSport Series 700 km of Imola,2023-01-07,True,False,12:15:31,2023-02-05,08:00:00,7,73.00,72.00,Hosted iRacing,2023,,,None
Hosted iRacing - Simability V8ESC - Circuit of the Americas - West - 04 February 2023 - 59696888,59696888,Simability V8ESC,2023-02-04,True,False,18:00:40,2023-05-15,08:19:04,8,65.00,68.00,Hosted iRacing,2023,,,Season 13 (Simability)
Hosted iRacing - GSI Endurance Series presented by IVRA 1500 km of Monza - Autodromo Nazionale Monza - Grand Prix - 18 February 2023 - 59967967,59967967,GSI Endurance Series presented by IVRA 1500 km of Monza,2023-02-18,True,False,10:16:00,2023-03-03,12:00:00,9,76.00,30.00,Hosted iRacing,2023,,,None
Hosted iRacing - Simability V8ESC - Detroit Grand Prix at Belle Isle - Belle Isle - 18 February 2023 - 59973508,59973508,Simability V8ESC,2023-02-18,True,False,18:00:27,2023-05-15,08:10:46,10,66.00,26.00,Hosted iRacing,2023,,,Season 13 (Simability)
Hosted iRacing - HyperX Clubsport Series - 700 km of Mid-Ohio - Mid-Ohio Sports Car Course - Full Course - 25 February 2023 - 60097766,60097766,HyperX Clubsport Series - 700 km of Mid-Ohio,2023-02-25,True,False,13:29:43,2023-04-02,08:00:00,5,72.00,53.00,Hosted iRacing,2023,,,None
Hosted iRacing - Simability V8ESC - Mount Panorama Circuit - 04 March 2023 - 60229243,60229243,Simability V8ESC,2023-03-04,True,False,18:00:01,2023-11-15,07:36:00,11,63.00,24.00,Hosted iRacing,2023,,,Season 13 (Simability)
