LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,CleanLap,BlackFlag,CarContact,CarReset,Contact,Discontinuity,Invalid,LostControl,OffTrack,Pitted,Tow,EventCategory,PositionInClass,BestLapOnLap,LeaderLapStartTime,PercentageGapToBestLap,GapToClassLeader
41,3,83.2096,2161.7042,8,1,0,0,0,0,0,0,0,0,0,0,,18,82.8284,1038.6816,0.46022861723754716,1123.0226000000002
661,30,85.3037,1848.0388,15,0,0,0,0,0,0,0,0,1,0,0,Off Track,5,83.4859,1624.5643,2.1773736642954162,223.47450000000003
1527,73,99.5145,3542.4666,17,0,0,0,0,0,0,0,0,1,1,0,"Off Track, In Pits",11,89.965,2023.9276,10.614683488023118,1518.5390000000002
3497,216,84.7026,13085.325,140,0,0,0,0,0,0,0,0,1,0,0,Off Track,3,83.3974,13050.6177,1.5650367997083805,34.70730000000003
9335,284,93.5442,14304.0958,143,1,0,0,0,0,0,0,0,0,0,0,,8,90.1597,14191.6591,3.7538944783534163,112.43669999999838
5194,235,84.7452,13421.3742,143,1,0,0,0,0,0,0,0,0,0,0,,13,83.1707,13301.5072,1.8930945633498482,119.86700000000019
9373,285,91.7609,1192.5644,10,1,0,0,0,0,0,0,0,0,0,0,,11,90.8525,1178.0023,0.9998624143529327,14.562099999999873
10823,307,88.8062,3640.351,34,1,0,0,0,0,0,0,0,0,0,0,,15,87.5677,3615.998,1.4143342807907544,24.353000000000065
2134,107,83.4383,2520.9587,4,1,0,0,0,0,0,0,0,0,0,0,,13,82.7486,2448.9862,0.8334884215563818,71.97250000000031
4534,228,84.5104,3344.8627,32,1,0,0,0,0,0,0,0,0,0,0,,16,82.3257,3333.741,2.653727815250903,11.121700000000146
10759,305,89.112,3639.7743,34,0,0,1,0,0,0,0,0,0,0,0,CarContact,14,87.5677,3615.998,1.7635498020388667,23.776299999999992
10925,309,88.2044,3543.6337,33,1,0,0,0,0,0,0,0,0,0,0,,9,87.3901,3527.9561,0.9317989108606071,15.677599999999984
2336,128,-0.0001,1913.2968,7,0,0,0,0,0,0,1,0,1,1,0,"Invalid, Off Track, In Pits",14,,1766.7497,,146.5471
2730,187,88.7697,460.1752,4,1,0,0,0,0,0,0,0,0,0,0,,7,87.803,369.4814,1.1009874377868556,90.69380000000001
3490,216,84.4173,12493.1715,133,1,0,0,0,0,0,0,0,0,0,0,,3,84.4173,12463.9857,0.0,29.18580000000111
4565,228,88.5441,6442.082,63,1,0,0,0,0,0,0,0,0,0,0,,10,84.5107,6428.1502,4.772650090461923,13.931800000000294
6095,245,88.6398,7465.5386,73,1,0,0,0,0,0,0,0,0,0,0,,3,88.4189,7455.4481,0.24983346320752275,10.090500000000247
6337,248,88.1944,11070.8852,113,1,0,0,0,0,0,0,0,0,0,0,,4,87.8372,11051.2648,0.4066614145259706,19.62039999999979
9110,282,91.2035,543.9591,3,1,0,0,0,0,0,0,0,0,0,0,,5,90.9132,540.9812,0.31931556693638186,2.9779000000000906
106,6,86.2161,1705.9768,9,1,0,0,0,0,0,0,0,0,0,0,,15,83.2975,1110.4153,3.5038266454575506,595.5615
1740,83,-0.0001,1742.3109,8,0,0,0,1,0,1,1,0,0,1,0,"Car Reset, Discontinuity, Invalid, In Pits",9,,1150.0739,,592.2369999999999
2829,203,93.3931,498.4664,5,0,0,0,0,0,0,0,0,1,0,0,Off Track,6,91.1583,453.2806,2.451559539833468,45.18580000000003
8787,278,99.575,2383.0172,23,1,0,0,0,0,0,0,0,0,0,0,,6,99.575,2370.6219,0.0,12.39529999999968
10057,293,169.684,3043.0665,27,1,0,0,0,0,0,0,0,0,0,0,,11,164.6209,3024.7513,3.0756119059001605,18.315200000000004
473,21,91.229,4426.5219,47,1,0,0,0,0,0,0,0,0,1,0,In Pits,1,91.229,4426.5219,0.0,0.0
1124,53,88.9114,2907.3554,22,0,0,0,0,0,0,0,0,1,0,0,Off Track,6,86.9103,2345.0126,2.30248888796838,562.3427999999999
3201,212,85.0218,7116.347,71,1,0,0,0,0,0,0,0,0,0,0,,4,83.684,7108.6282,1.5986329525357377,7.718799999999646
4258,225,84.844,11777.1923,124,1,0,0,0,0,0,0,0,0,0,0,,11,83.5361,11704.6717,1.565670410756539,72.52059999999983
5216,235,85.8053,15389.8606,165,0,0,0,0,0,0,0,0,1,0,0,Off Track,13,83.7277,15232.8625,2.4813771308658943,156.9981000000007
8871,279,93.0901,10940.417,107,1,0,0,0,0,0,0,0,0,0,0,,7,90.9602,10855.2844,2.341573567340447,85.132599999999
9223,283,92.3057,11784.9659,116,1,0,0,0,0,0,0,0,0,0,0,,8,90.874,11672.8746,1.575478134559944,112.09130000000005
