LapID,DriverEntryID,LapTime,LapStartTime,LapInSession,SessionEntryID,LapTimeLoss,PitInstanceInSession
13,1,127.0711,3207.8239,12,1,37.53450625000001,1
22,1,114.3307,4192.5259,21,1,24.79410625,2
25,2,1291.4087,5659.5178,24,1,1201.87210625,3
35,3,98.2244,1603.2862,2,2,6.159926315789463,1
39,3,93.1689,1989.813,6,2,1.1044263157894534,2
42,3,117.1631,2278.8673,9,2,25.09862631578946,3
44,3,100.723,2510.6467,11,2,8.658526315789459,4
46,3,88.6784,3366.5496,20,2,-3.386073684210544,7
49,3,97.2151,3519.9301,23,2,5.1506263157894665,8
51,3,97.017,3704.9669,25,2,4.952526315789456,9
52,3,88.7435,3793.7104,26,2,-3.320973684210543,9
54,3,94.3171,3988.4629,28,2,2.252626315789456,10
58,3,94.2701,4338.3205,32,2,2.205626315789459,11
60,3,97.5813,5599.6296,34,2,5.516826315789459,12
66,3,92.8957,6510.6222,40,2,0.8312263157894648,13
67,4,118.1593,2717.9915,13,2,26.09482631578946,5
68,4,94.2152,2812.2067,14,2,2.1507263157894556,5
71,4,104.6209,3098.2657,17,2,12.556426315789466,6
73,4,95.6336,3277.8712,19,2,3.569126315789461,7
80,5,238.9402,3041.9085,22,3,149.93223999999998,2
89,5,95.1518,3807.0069,31,3,6.143839999999983,3
97,5,104.4255,6000.7901,39,3,15.417539999999988,4
103,6,590.4535,1451.4731,6,3,501.44553999999994,1
117,6,94.4304,2657.6578,20,3,5.422439999999995,2
118,6,145.3105,2802.9683,21,3,56.30253999999998,2
120,7,93.0889,818.421,1,4,4.7839894736842155,1
125,7,92.9744,1344.5575,6,4,4.669489473684223,2
131,7,92.5257,1867.3499,12,4,4.220789473684221,3
135,7,91.7506,2741.715,16,4,3.445689473684226,4
137,7,93.7906,3800.3156,18,4,5.485689473684218,5
143,7,95.1716,4329.1483,24,4,6.866689473684218,6
146,7,104.1155,5736.8479,27,4,15.810589473684217,7
150,7,93.0953,6063.2653,31,4,4.790389473684215,8
156,8,91.1225,625.6932,1,5,-13.195478260869578,1
162,8,91.153,1176.6192,7,5,-13.164978260869574,2
167,8,97.9164,1920.9661,12,5,-6.401578260869584,3
177,8,510.893,3191.9243,22,5,406.5750217391304,4
178,8,91.6344,3283.5587,23,5,-12.68357826086958,4
187,8,91.8653,4342.6973,32,5,-12.452678260869575,5
190,8,92.2198,5615.2202,35,5,-12.098178260869574,6
197,8,92.1896,6140.6521,42,5,-12.128378260869582,7
198,9,103.4186,6244.0707,43,5,-0.8993782608695824,7
199,9,93.8838,6337.9545,44,5,-10.434178260869587,7
204,10,92.8828,569.8502,1,6,6.729097368421037,1
206,10,91.8932,752.4076,3,6,5.739497368421027,2
211,10,92.0937,1228.5376,8,6,5.939997368421032,3
215,10,86.4768,2566.5325,24,6,0.3230973684210312,6
216,10,93.2068,2659.7393,25,6,7.053097368421035,6
222,10,107.3596,3158.445,31,6,21.205897368421034,7
227,11,75.8376,1555.4992,12,6,-10.316102631578971,4
228,11,92.9501,1648.4493,13,6,6.79639736842104,4
234,11,98.672,2143.7636,19,6,12.518297368421031,5
239,11,62.4283,3559.6106,36,6,-23.725402631578966,8
240,11,91.9799,3651.5905,37,6,5.826197368421035,8
244,11,93.2104,3961.0901,41,6,7.056697368421041,9
249,11,93.5792,5647.9713,46,6,7.425497368421034,10
254,11,94.4606,6108.9357,51,6,8.306897368421033,11
260,12,91.2773,569.1565,1,7,0.7136000000000138,1
