SessionEntryID,SessionID,SessionEntryiRacingID,EntryName,IsTeam,CarID,FinishPosInClass,StartPositionInClass,ClassID,EntryIncidents,GapToLeader,LapsCompleted,FinalLapFinishTime,OverallFinishPos,OverallStartPos,StartPos,ReasonOut,ChampPoints
3,1,-80235,Alpinestars Geodesic Racing,True,1,3,1,1,5,0.3183,29,4473.4908000000005,3,0,0,Running,0
8,1,-262254,Deutsche Payment Black Dog,True,1,8,2,1,8,0.5077,29,3824.7977,8,0,0,Running,0
4,1,-269793,Sim City Racing II,True,1,4,3,1,21,0.3311,34,7943.8133,4,0,0,Running,0
7,1,-281326,ATRS eSports #912,True,1,7,4,1,16,0.4941,37,6624.9313,7,0,0,Running,0
13,1,-291238,Leipert Esports #92,True,1,13,5,1,12,0.7843,41,6885.033399999999,13,0,0,Running,0
14,1,-289695,Sabelt ESPORTS Pcup IVRA,True,1,14,6,1,37,0.9629,26,7130.965700000001,14,0,0,Running,0
17,1,-127473,Hellracers Tershine,True,1,17,7,1,13,1.2474,31,7591.0653999999995,17,0,0,Running,0
9,1,-183950,Orion Race Team,True,1,9,8,1,5,0.5232,28,6499.6948999999995,9,0,0,Running,0
6,1,-172632,ATRS eSports #913,True,1,6,9,1,12,0.4608,36,7228.8189999999995,6,0,0,Running,0
2,1,-239238,Impulse Racing #15,True,1,2,10,1,9,0.1935,31,6688.7258,2,0,0,Running,0
5,1,-205823,RPC eSports,True,1,5,11,1,7,0.4333,33,7181.2702,5,0,0,Running,0
12,1,-169831,TREQ eSports,True,1,12,12,1,6,0.737,29,6923.9887,12,0,0,Running,0
10,1,-271827,WS Racing eSports,True,1,10,13,1,11,0.5378,32,7174.6840999999995,10,0,0,Running,0
16,1,-288974,Visceral Esports IVRA Clubsport #2,True,1,16,14,1,26,1.2089,33,6886.6549,16,0,0,Running,0
18,1,-135362,Orion Race Team IVRA,True,1,18,15,1,3,1.3762,27,7444.884900000001,18,0,0,Running,0
11,1,-286423,Kairos eSports,True,1,11,16,1,10,0.5976,19,6669.120199999999,11,0,0,Running,0
1,1,-201852,Maniti Racing $IVRA Cup,True,1,1,17,1,10,-,21,6961.8505000000005,1,0,0,Running,0
15,1,-280905,Visceral Esports IVRA Clubsport #1,True,1,15,18,1,3,1.1359,9,5977.8938,15,0,0,Running,0
32,1,-31183,SRN Motorsports Black,True,2,14,1,2,15,0.6387,41,6439.3655,32,0,0,Running,0
35,1,-31182,SRN Motorsports Orange,True,3,17,2,2,18,0.8403,38,6905.4023,35,0,0,Running,0
34,1,-142020,Fiercely Forward GT,True,2,16,3,2,8,0.8284,22,7708.4064,34,0,0,Running,0
20,1,-262248,Deutsche Payment Interceptor,True,3,2,4,2,13,0.1228,29,6651.888800000001,20,0,0,Running,0
29,1,-268704,Sim City Racing,True,2,11,5,2,8,0.4455,29,6261.0057,29,0,0,Running,0
22,1,-139445,Hugh Jass - Gold,True,3,4,6,2,12,0.2762,35,6335.6815,22,0,0,Running,0
28,1,-124248,Archer Brothers,True,5,10,7,2,21,0.4312,42,6689.8811000000005,28,0,0,Running,0
24,1,-178579,Eclipse Racing Team,True,2,6,8,2,14,0.3458,27,7119.732,24,0,0,Running,0
26,1,-80951,Torque Freak Racing TeamSpeak,True,2,8,9,2,17,0.3998,30,6683.7355,26,0,0,Running,0
23,1,-92080,GermanSimRacing.de by ACV,True,4,5,10,2,19,0.3217,35,6616.774799999999,23,0,0,Running,0
19,1,-240335,RSR by Buttkicker $GT4,True,2,1,11,2,35,-,38,6969.3728,19,0,0,Running,0
30,1,-200736,5Star Motorsport #155,True,2,12,12,2,31,0.535,36,6701.495400000001,30,0,0,Running,0
37,1,-149181,Sapphire Simsport Alpha,True,2,19,13,2,30,1.0108,36,6943.759,37,0,0,Running,0
21,1,-289663,Impulse Racing #157 $GT4,True,2,3,14,2,18,0.2605,34,6615.9618,21,0,0,Running,0
31,1,-289052,HPDS Academy,True,2,13,15,2,18,0.5542,32,7478.6669,31,0,0,Running,0
25,1,-54386,Team Heusinkveld #148,True,2,7,16,2,10,0.3643,34,7339.223,25,0,0,Running,0
36,1,-287037,Fiercely Forward,True,5,18,17,2,24,0.952,27,6304.9201,36,0,0,Running,0
27,1,-81577,Alpinestars Geodesic Racing Black,True,3,9,18,2,11,0.4162,24,8858.8509,27,0,0,Running,0
33,1,-256339,Ingersoll Rand GT4,True,2,15,19,2,24,0.7076,25,7055.0727,33,0,0,Running,0
38,1,-225287,Hugh Jass - Blue,True,2,20,20,2,0,1.455,7,6659.8812,38,0,0,Running,0
39,1,-59992,GermanSimRacing #Green,True,4,21,21,2,2,2.827,2,6703.7993,39,0,0,Running,0
52,1,-180125,SIMRACINGPRO RACING TEAM TCR,True,6,13,1,3,8,0.8626,31,7512.1119,52,0,0,Running,0
40,1,-193774,Impulse Racing #222,True,6,1,2,3,15,-,39,6603.253000000001,40,0,0,Running,0
51,1,-115095,Alpinestars Geodesic Racing Echelon,True,6,12,3,3,13,0.8386,34,7205.2994,51,0,0,Running,0
53,1,-246175,Olympus eSports,True,8,14,4,3,13,1.3636,36,6659.6114,53,0,0,Running,0
50,1,-284527,Fiercely Forward TCR,True,6,11,5,3,17,0.6332,37,6720.0394,50,0,0,Running,0
54,1,-127049,Tri-Racing,True,8,15,6,3,16,1.5461,36,6565.2898000000005,54,0,0,Running,0
46,1,-289690,Brabham Esports CS Hissing Sid,True,6,7,7,3,8,0.4932,35,6602.7759,46,0,0,Running,0
42,1,-289688,Brabham Esports CS,True,6,3,8,3,9,0.1909,31,7284.772,42,0,0,Running,0
55,1,-258978,Big One Club 225,True,7,16,9,3,12,1.6237,22,6505.2334,55,0,0,Running,0
47,1,-140023,Full Send Racing #285,True,6,8,10,3,15,0.5052,18,3893.5471,47,0,0,Running,0
49,1,-130308,Full Send Racing #287,True,7,10,11,3,9,0.63,34,7200.5485,49,0,0,Running,0
45,1,-253719,Maniti Racing $IVRA TCR,True,6,6,12,3,15,0.3728,23,4466.5984,45,0,0,Running,0
44,1,-65569,Team Heusinkveld #248,True,6,5,13,3,21,0.3617,25,7637.1293000000005,44,0,0,Running,0
48,1,-276314,RSR by ButtKicker #267,True,6,9,14,3,6,0.5216,27,7415.8669,48,0,0,Running,0
41,1,-220772,Impulse Racing #233,True,6,2,15,3,11,0.1297,23,6384.1832,41,0,0,Running,0
43,1,-288978,Ingersoll Rand TCR,True,6,4,16,3,5,0.2564,21,8296.2718,43,0,0,Running,0
59,2,-169831,TREQ eSports,True,1,4,1,1,1,0.1626,7,3160.9363000000003,4,0,0,Running,0
63,2,-80235,Alpinestars Geodesic Racing,True,1,8,2,1,1,0.4021,6,2899.3867999999998,8,0,0,Running,0
65,2,-239238,Impulse Racing #15,True,1,10,3,1,3,0.4625,7,3006.4746999999998,10,0,0,Running,0
64,2,-269793,Sim City Racing II,True,1,9,4,1,0,0.4215,7,3044.7765999999997,9,0,0,Running,0
66,2,-262254,Deutsche Payment Black Dog,True,1,11,5,1,0,0.5162,8,3118.7974999999997,11,0,0,Running,0
61,2,-172632,ATRS eSports #913,True,1,6,6,1,0,0.356,7,3193.6841,6,0,0,Running,0
70,2,-135362,Orion Race Team IVRA,True,1,15,7,1,0,0.7653,8,3147.6157999999996,15,0,0,Running,0
67,2,-286423,Kairos eSports,True,1,12,8,1,0,0.5844,8,3144.0874999999996,12,0,0,Running,0
56,2,-205823,RPC eSports,True,1,1,9,1,0,-,7,3039.0753999999997,1,0,0,Running,0
69,2,-289695,Sabelt ESPORTS Pcup IVRA,True,1,14,10,1,0,0.6534,7,3140.3063,14,0,0,Running,0
58,2,-201852,Maniti Racing $IVRA Cup,True,1,3,11,1,0,0.152,7,3105.2255999999998,3,0,0,Running,0
73,2,-127473,Hellracers Tershine,True,1,18,12,1,2,1.0147,7,3192.762,18,0,0,Running,0
71,2,-271827,WS Racing eSports,True,1,16,13,1,0,0.8449,7,3054.4637,16,0,0,Running,0
60,2,-291238,Leipert Esports #92,True,1,5,14,1,0,0.2144,7,3061.116,5,0,0,Running,0
62,2,-288974,Visceral Esports IVRA Clubsport #2,True,1,7,15,1,0,0.3642,7,3171.4651,7,0,0,Running,0
68,2,-280905,Visceral Esports IVRA Clubsport #1,True,1,13,16,1,1,0.6485,7,3171.2632,13,0,0,Running,0
57,2,-281326,ATRS eSports #912,True,1,2,17,1,0,0.0777,7,3191.8565,2,0,0,Running,0
72,2,-183950,Orion Race Team,True,1,17,18,1,1,0.9548,7,3082.3075,17,0,0,Running,0
88,2,-149181,Sapphire Simsport Alpha,True,2,15,1,2,4,0.6679,6,1974.0592,33,0,0,Running,0
86,2,-178579,Eclipse Racing Team,True,2,13,2,2,1,0.5905,8,2120.3904,31,0,0,Running,0
90,2,-31182,SRN Motorsports Orange,True,3,17,3,2,0,0.8006,7,2012.7730000000001,35,0,0,Running,0
89,2,-80951,Torque Freak Racing TeamSpeak,True,2,16,4,2,1,0.6716,7,2156.237,34,0,0,Running,0
85,2,-92080,GermanSimRacing.de by ACV,True,4,12,5,2,2,0.4717,6,1987.3478,30,0,0,Running,0
80,2,-200736,5Star Motorsport #155,True,2,7,6,2,0,0.2743,7,2010.8937,25,0,0,Running,0
81,2,-289663,Impulse Racing #157 $GT4,True,2,8,7,2,4,0.3613,7,2067.8797999999997,26,0,0,Running,0
76,2,-289052,HPDS Academy,True,2,3,8,2,1,0.2489,8,2118.1045,21,0,0,Running,0
74,2,-240335,RSR by Buttkicker $GT4,True,2,1,9,2,1,-,5,1793.5341,19,0,0,Running,0
92,2,-287037,Fiercely Forward,True,5,19,10,2,5,0.8745,6,1914.8062,37,0,0,Running,0
93,2,-225287,Hugh Jass - Blue,True,2,20,11,2,2,0.9404,7,2095.7808,38,0,0,Running,0
83,2,-139445,Hugh Jass - Gold,True,3,10,12,2,1,0.4176,7,2194.8871000000004,28,0,0,Running,0
82,2,-81577,Alpinestars Geodesic Racing Black,True,3,9,13,2,2,0.3783,6,1929.9626,27,0,0,Running,0
91,2,-268704,Sim City Racing,True,2,18,14,2,5,0.8247,7,2060.6938,36,0,0,Running,0
79,2,-124248,Archer Brothers,True,5,6,15,2,3,0.2633,8,2135.3959999999997,24,0,0,Running,0
87,2,-142020,Fiercely Forward GT,True,2,14,16,2,0,0.6065,7,2100.1007999999997,32,0,0,Running,0
78,2,-262248,Deutsche Payment Interceptor,True,3,5,17,2,2,0.2607,7,2070.0942999999997,23,0,0,Running,0
75,2,-256339,Ingersoll Rand GT4,True,2,2,18,2,3,0.1152,8,2143.8545999999997,20,0,0,Running,0
94,2,-59992,GermanSimRacing #Green,True,4,21,19,2,2,1.017,5,1865.2,39,0,0,Running,0
84,2,-31183,SRN Motorsports Black,True,2,11,20,2,1,0.4277,7,2141.0318,29,0,0,Running,0
77,2,-54386,Team Heusinkveld #148,True,2,4,21,2,0,0.2505,8,2145.7688999999996,22,0,0,Running,0
104,2,-140023,Full Send Racing #285,True,6,10,1,3,0,0.8722,7,1193.5935,49,0,0,Running,0
103,2,-130308,Full Send Racing #287,True,7,9,2,3,1,0.6723,7,1083.1376,48,0,0,Running,0
99,2,-180125,SIMRACINGPRO RACING TEAM TCR,True,6,5,3,3,1,0.4438,8,1202.2126,44,0,0,Running,0
108,2,-115095,Alpinestars Geodesic Racing Echelon,True,6,14,4,3,1,1.0022,7,1087.0824,53,0,0,Running,0
97,2,-288978,Ingersoll Rand TCR,True,6,3,5,3,3,0.3874,7,1096.4909,42,0,0,Running,0
102,2,-65569,Team Heusinkveld #248,True,6,8,6,3,2,0.5692,8,1205.8669,47,0,0,Running,0
109,2,-246175,Olympus eSports,True,8,15,7,3,0,1.3969,6,1085.8764,54,0,0,Running,0
106,2,-258978,Big One Club 225,True,7,12,8,3,1,0.8941,8,1203.4193,51,0,0,Running,0
98,2,-253719,Maniti Racing $IVRA TCR,True,6,4,9,3,1,0.4166,8,1221.0436,43,0,0,Running,0
105,2,-276314,RSR by ButtKicker #267,True,6,11,10,3,0,0.883,7,1098.1333,50,0,0,Running,0
110,2,-127049,Tri-Racing,True,8,16,11,3,2,1.7725,7,1099.5451,55,0,0,Running,0
95,2,-193774,Impulse Racing #222,True,6,1,12,3,0,-,8,1211.7044,40,0,0,Running,0
101,2,-220772,Impulse Racing #233,True,6,7,13,3,0,0.5586,7,1218.4415000000001,46,0,0,Running,0
107,2,-284527,Fiercely Forward TCR,True,6,13,14,3,3,0.9094,7,1113.9370000000001,52,0,0,Running,0
96,2,-289688,Brabham Esports CS,True,6,2,15,3,0,0.2437,7,1220.2845,41,0,0,Running,0
100,2,-289690,Brabham Esports CS Hissing Sid,True,6,6,16,3,0,0.4709,7,1221.4773,45,0,0,Running,0
112,3,-172632,ATRS eSports #913,True,1,2,1,1,1,0.0325,3,538.2906,2,0,0,Running,0
124,3,-262254,Deutsche Payment Black Dog,True,1,14,2,1,0,1.2574,5,744.7185,14,0,0,Running,0
116,3,-80235,Alpinestars Geodesic Racing,True,1,6,3,1,2,0.6509,5,736.0553,6,0,0,Running,0
118,3,-289695,Sabelt ESPORTS Pcup IVRA,True,1,8,4,1,1,0.7763,3,538.4335,8,0,0,Running,0
126,3,-205823,RPC eSports,True,1,16,5,1,0,2.0885,4,675.6368,16,0,0,Running,0
114,3,-269793,Sim City Racing II,True,1,4,6,1,2,0.4355,5,687.1544,4,0,0,Running,0
111,3,-201852,Maniti Racing $IVRA Cup,True,1,1,7,1,0,-,4,658.3448999999999,1,0,0,Running,0
119,3,-288974,Visceral Esports IVRA Clubsport #2,True,1,9,8,1,0,0.8031,2,463.876,9,0,0,Running,0
122,3,-169831,TREQ eSports,True,1,12,9,1,0,0.8884,4,718.8674,12,0,0,Running,0
125,3,-127473,Hellracers Tershine,True,1,15,10,1,1,1.4745,5,776.3315,15,0,0,Running,0
121,3,-271827,WS Racing eSports,True,1,11,11,1,0,0.8573,5,813.4709,11,0,0,Running,0
120,3,-286423,Kairos eSports,True,1,10,12,1,1,0.8473,4,701.436,10,0,0,Running,0
115,3,-239238,Impulse Racing #15,True,1,5,13,1,0,0.4657,4,707.3402000000001,5,0,0,Running,0
123,3,-135362,Orion Race Team IVRA,True,1,13,14,1,0,1.1754,4,736.3654,13,0,0,Running,0
113,3,-281326,ATRS eSports #912,True,1,3,15,1,3,0.2588,4,770.7057,3,0,0,Running,0
161,3,-280905,Visceral Esports IVRA Clubsport #1,True,1,17,16,1,0,5 Laps,0,424.2207,52,0,0,Running,0
117,3,-183950,Orion Race Team,True,1,7,17,1,0,0.7317,2,774.7194,7,0,0,Running,0
136,3,-31183,SRN Motorsports Black,True,2,10,1,2,1,0.5002,5,772.3385,26,0,0,Running,0
130,3,-92080,GermanSimRacing.de by ACV,True,4,4,2,2,3,0.2009,5,768.1757,20,0,0,Running,0
138,3,-200736,5Star Motorsport #155,True,2,12,3,2,0,0.8241,4,642.7505,28,0,0,Running,0
137,3,-289052,HPDS Academy,True,2,11,4,2,4,0.677,4,753.5137,27,0,0,Running,0
139,3,-54386,Team Heusinkveld #148,True,2,13,5,2,2,0.8276,2,478.1603,29,0,0,Running,0
135,3,-240335,RSR by Buttkicker $GT4,True,2,9,6,2,0,0.4656,4,739.9466,25,0,0,Running,0
145,3,-142020,Fiercely Forward GT,True,2,19,7,2,5,1.8514,1,368.8924,35,0,0,Running,0
144,3,-59992,GermanSimRacing #Green,True,4,18,8,2,5,1.8066,1,369.1458,34,0,0,Running,0
128,3,-256339,Ingersoll Rand GT4,True,2,2,9,2,1,0.1282,5,799.9233,18,0,0,Running,0
127,3,-289663,Impulse Racing #157 $GT4,True,2,1,10,2,4,-,5,805.9008,17,0,0,Running,0
132,3,-287037,Fiercely Forward,True,5,6,11,2,2,0.2484,5,802.4627,22,0,0,Running,0
140,3,-268704,Sim City Racing,True,2,14,12,2,0,0.8574,2,491.09090000000003,30,0,0,Running,0
129,3,-262248,Deutsche Payment Interceptor,True,3,3,13,2,0,0.142,4,738.1601,19,0,0,Running,0
141,3,-178579,Eclipse Racing Team,True,2,15,14,2,0,0.8957,1,392.5349,31,0,0,Running,0
133,3,-225287,Hugh Jass - Blue,True,2,7,15,2,0,0.2645,3,623.6785,23,0,0,Running,0
131,3,-139445,Hugh Jass - Gold,True,3,5,16,2,4,0.2233,2,523.0578,21,0,0,Running,0
134,3,-124248,Archer Brothers,True,5,8,17,2,4,0.2936,4,782.1963,24,0,0,Running,0
142,3,-80951,Torque Freak Racing TeamSpeak,True,2,16,18,2,2,0.9348,3,783.1213,32,0,0,Running,0
143,3,-31182,SRN Motorsports Orange,True,3,17,19,2,0,1.4579,3,662.1053,33,0,0,Running,0
146,3,-149181,Sapphire Simsport Alpha,True,2,20,20,2,4,2.0489,1,524.8465,36,0,0,Running,0
159,3,-289690,Brabham Esports CS Hissing Sid,True,6,13,1,3,10,2.4834,3,603.9737,49,0,0,Running,0
154,3,-193774,Impulse Racing #222,True,6,8,2,3,5,0.742,4,837.3251,44,0,0,Running,0
147,3,-220772,Impulse Racing #233,True,6,1,3,3,4,-,4,768.6144,37,0,0,Running,0
151,3,-180125,SIMRACINGPRO RACING TEAM TCR,True,6,5,4,3,1,0.4325,4,717.0689,41,0,0,Running,0
149,3,-276314,RSR by ButtKicker #267,True,6,3,5,3,1,0.2186,4,727.9163000000001,39,0,0,Running,0
148,3,-65569,Team Heusinkveld #248,True,6,2,6,3,2,0.1925,4,727.3974,38,0,0,Running,0
156,3,-246175,Olympus eSports,True,8,10,7,3,0,1.8968,3,632.9517999999999,46,0,0,Running,0
164,3,-284527,Fiercely Forward TCR,True,6,16,8,3,1,2 Laps,2,904.4674,55,0,0,Running,0
157,3,-258978,Big One Club 225,True,7,11,9,3,2,2.2992,3,717.7691,47,0,0,Running,0
158,3,-127049,Tri-Racing,True,8,12,10,3,6,2.3585,4,768.5275,48,0,0,Running,0
152,3,-289688,Brabham Esports CS,True,6,6,11,3,1,0.6203,3,648.6216,42,0,0,Running,0
150,3,-253719,Maniti Racing $IVRA TCR,True,6,4,12,3,0,0.26,3,738.5439,40,0,0,Running,0
153,3,-288978,Ingersoll Rand TCR,True,6,7,13,3,7,0.6916,3,769.5595000000001,43,0,0,Running,0
155,3,-115095,Alpinestars Geodesic Racing Echelon,True,6,9,14,3,0,1.3527,2,796.7436,45,0,0,Running,0
216,4,-205823,RPC eSports,True,1,16,1,1,9,136 Laps,18,2134.9984999999997,52,1,1,Disconnected,0
172,4,-281326,ATRS eSports #912,True,1,8,2,1,39,53.4216,154,17153.2039,8,2,2,Running,0
166,4,-201852,Maniti Racing $IVRA Cup,True,1,2,3,1,20,5.3024,154,17105.3681,2,3,3,Running,0
167,4,-169831,TREQ eSports,True,1,3,4,1,30,9.4062,154,17109.8895,3,4,4,Running,0
169,4,-291238,Leipert Esports #92,True,1,5,5,1,33,27.7651,154,17129.7987,5,5,5,Running,0
176,4,-172632,ATRS eSports #913,True,1,12,6,1,21,1 Laps,153,17141.188000000002,12,6,6,Running,0
177,4,-288974,Visceral Esports IVRA Clubsport #2,True,1,13,7,1,39,1 Laps,153,17211.2134,13,7,7,Running,0
218,4,-80235,Alpinestars Geodesic Racing,True,1,18,8,1,5,145 Laps,9,1233.3257,54,8,8,Disconnected,0
178,4,-269793,Sim City Racing II,True,1,14,9,1,20,2 Laps,152,17152.0476,14,9,9,Running,0
165,4,-239238,Impulse Racing #15,True,1,1,10,1,13,-,154,17101.1655,1,10,10,Running,0
175,4,-262254,Deutsche Payment Black Dog,True,1,11,11,1,24,1 Laps,153,17128.166200000003,11,11,11,Running,0
215,4,-286423,Kairos eSports,True,1,15,12,1,16,116 Laps,38,4282.0885,51,12,12,Disconnected,0
168,4,-280905,Visceral Esports IVRA Clubsport #1,True,1,4,13,1,51,27.2713,154,17026.2303,4,13,13,Running,0
217,4,-289695,Sabelt ESPORTS Pcup IVRA,True,1,17,14,1,13,136 Laps,18,2349.6504999999997,53,14,14,Disconnected,0
